Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,Cost (₺),Discounts (₺),Promotions & others (₺),Unrounded subtotal (₺),Subtotal (₺),Percent change in subtotal compared to previous period
Artifact Registry,149C-F9EC-3994,Artifact Registry Storage,8502-299A-ABAF,0.128,gibibyte month,0.50,0.00,-0.50,0.000000,0.00,0%
Artifact Registry,149C-F9EC-3994,Artifact Registry Network Internet Egress Europe to Europe,B202-CE74-F2F2,0.034,gibibyte,0.14,0.00,-0.14,0.000000,0.00,0%
Artifact Registry,149C-F9EC-3994,Artifact Registry Network Inter Region Egress Europe to Europe,EC12-0EE6-29FB,0.48,gibibyte,0.38,0.00,-0.38,0.000000,0.00,0%
Cloud Run,152E-C115-5142,Services CPU Tier 2  (Request-based billing),085C-A237-027A,9.4,second,0.01,-0.01,0.00,0.000000,0.00,0%
Cloud Run,152E-C115-5142,Requests,2DA5-55D3-E679,1,count,0.00,0.00,0.00,0.000000,0.00,0%
Cloud Run,152E-C115-5142,Services Memory Tier 2 (Request-based billing),600C-3782-6708,2.7,gibibyte second,0.00,-0.00,0.00,0.000000,0.00,0%
Cloud Run,152E-C115-5142,Cloud Run Network HTTP Load Balancing Data Transfer Out to Load Balancer,9841-EABE-71F3,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Cloud Logging,5490-F7B7-8DF6,Log Storage cost,143F-A1B0-E0BE,4.671,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Frankfurt to Americas,00F1-65AD-DC47,0,gibibyte,0.00,0.00,-0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Zurich to EMEA,06DC-321F-CF05,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Zurich to Americas,0E03-E9ED-BB81,0.004,gibibyte,0.02,0.00,-0.02,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Americas to Frankfurt,0F4C-2B02-F59B,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Intra Zone Data Transfer Out,14F9-7705-2FD4,66.643,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Zurich to South America,1D5E-A0BA-AE6D,0.001,gibibyte,0.00,0.00,-0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Middle East to Zurich,1E99-1B07-3974,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Frankfurt to EMEA,290E-20E5-93E2,0,gibibyte,0.00,0.00,-0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Zurich to Americas,2ECA-4650-2876,0,gibibyte,0.00,0.00,-0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from South America to Zurich,30C8-618D-0897,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from APAC to Zurich,3A6B-5D49-5723,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Licensing Fee for Container-Optimized OS - PCID Whitelisted (RAM cost),3D41-4308-45C0,463.227,gibibyte hour,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Zurich to Zurich,3E61-F613-86A2,3.394,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Finland to Frankfurt,4155-5133-29A9,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Zurich to Frankfurt,4D07-9DD7-7783,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Zurich to Middle East,4F85-CC6A-876F,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Frankfurt to Frankfurt,50B6-FB7D-9C7E,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Americas to Zurich,52CC-BB3E-DF1F,0.001,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from EMEA to Zurich,543F-6E0D-EBC1,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Los Angeles to Zurich,5A92-5B62-0D15,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Zurich to Africa,5D12-329A-8F20,0.001,gibibyte,0.00,0.00,-0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Licensing Fee for Google Container Engine Node (RAM cost),5DEA-D962-E5F8,463.227,gibibyte hour,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Finland to Zurich,6391-B9D8-59C4,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Australia to Zurich,63C0-717B-8A51,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Static Ip Charge,66A2-68EA-56BE,0.239,hour,0.09,0.00,-0.09,0.000000,0.00,0%
